Open;Close;High;Low;Volume;Date
59117,32813;57704,98;60003,37891;57194,69141;;18/03/2021
57606,35938;58143,05;59435,57813;56385,23047;;19/03/2021
58078,46094;58128,34;59857,42969;57965,26172;;20/03/2021
58091,12891;57458,47;58603,76172;55814,89063;;21/03/2021
57416,83984;54297,51;58405,05859;53948,80859;;22/03/2021
54246,23047;54554,5;55816,89844;53200,60938;;23/03/2021
54339,48828;52458,37;57176;52056,01172;;24/03/2021
52331,37109;51512,4;53183,37109;50533,39844;;25/03/2021
51366,28906;54961,19;54996,85938;51366,28906;;26/03/2021
55183,78906;55819,6;56480,35938;54042,75;;27/03/2021
55942,71875;55772,43;56514,28906;54794,67188;;28/03/2021
55814,23828;57637,24;58304,64063;54957,28906;;29/03/2021
57619,76172;58706,09;59340,42188;57069,32813;;30/03/2021
58771,44141;58689,51;59735,66016;57411,67188;;31/03/2021
58783,92969;58765,49;59357,42188;58084,64844;;1/04/2021
58788,94141;59004,09;59969,17969;58533,48828;;2/04/2021
59005,94922;57157,28;59658,55859;57103,12891;;3/04/2021
57041,89063;58244,46;58494,48047;56633,17188;;4/04/2021
58291,44922;58816,76;59155,53125;56962,96094;;5/04/2021
59128,17188;58094,1;59418,69922;57492,60938;;6/04/2021
58052,17969;56178,03;58600,92188;55600,80859;;7/04/2021
56008,37109;58001,64;58141,46875;55814,62109;;8/04/2021
58110,98047;58146,53;58853,12891;57758,07813;;9/04/2021
58173,71875;59724,72;61015,10938;57966,57031;;10/04/2021
59914,55859;60010,33;60607,23047;59276,67188;;11/04/2021
60115,35156;59855,52;61083,76172;59645,23047;;12/04/2021
59865,26172;63587,85;63592,44141;59833,03906;;13/04/2021
63627,21094;62828,21;64748,91016;61461,05078;;14/04/2021
63154,26953;63243,16;63769,71094;62097,78125;;15/04/2021
63337,37891;61587,34;63566,30078;60099,16016;;16/04/2021
61467,01172;60275,67;62467,78906;59869,12891;;17/04/2021
60233,62891;56313,71;60456,89844;53447,23047;;18/04/2021
56328,85938;55713,53;57548,66016;54432,48828;;19/04/2021
55744,76172;56480,5;57084,35156;53561,89844;;20/04/2021
56527,42188;53862,65;56786,46094;53727,80078;;21/04/2021
53911,25;51816,58;55385,05859;50839,92969;;22/04/2021
51680,96094;51101,97;52065,80859;47735,42188;;23/04/2021
51176,05859;50114,51;51196,41016;48926,48828;;24/04/2021
50191,71094;49078,04;50568,28906;47278,07031;;25/04/2021
49168,85156;54067,25;54344,21094;48976,55078;;26/04/2021
53986,67969;55009,09;55442,80078;53401,01172;;27/04/2021
55065,62109;54794,04;56243,30859;53985,94141;;28/04/2021
54914,67188;53574,55;55138,14063;52477,21875;;29/04/2021
53572,12109;57792,35;57878,64844;53148,26172;;30/04/2021
57696,96875;57792,17;58431,39844;57102,05078;;1/05/2021
57819,76172;56609,07;57872,92969;56170,28125;;2/05/2021
56593,78906;57213,02;58919,19922;56587,51172;;3/05/2021
57196,71875;53276,79;57214,89063;53276,78906;;4/05/2021
53208,85156;57316,76;57811,32813;53120,32813;;5/05/2021
57495,03906;56385,67;58330,41016;55438,25;;6/05/2021
56456,42969;57375,17;58646,64844;55375,05859;;7/05/2021
57397,10938;58774,34;59507,03906;57093,07031;;8/05/2021
58927,14844;58242,45;59241,35156;56526,60156;;9/05/2021
58386,19922;55840,47;59528,28906;54685,28906;;10/05/2021
