Open;Close;High;Low;Volume;Date
1747,48;1736,6;1755;1719,43;;18/03/2021
1734;1749,6;1749,6;1728,42;;19/03/2021
1749,6;1749,6;1749,6;1749,6;;20/03/2021
1746,55;1739,9;1746,55;1739,5;;21/03/2021
1739,8;1739,55;1743,05;1727,55;;22/03/2021
1739,7;1727,5;1742,35;1724,7;;23/03/2021
1727,45;1734,2;1737,8;1724,45;;24/03/2021
1734,18;1727,6;1745,1;1722,58;;25/03/2021
1727,4;1731,93;1736,5;1721,6;;26/03/2021
0;1720,5;1720,5;1720,5;;28/03/2021
1732,35;1712,3;1732,8;1706;;29/03/2021
1712,45;1685,25;1714,15;1679,25;;30/03/2021
1684,75;1707,2;1714,6;1678,05;;31/03/2021
1707,3;1729,8;1729,95;1705,9;;1/04/2021
1729,8;1729,8;1729,8;1729,8;;2/04/2021
1729,8;1729,8;1729,8;1729,8;;4/04/2021
1729,8;1728,1;1733,2;1721,4;;5/04/2021
1728,54;1744,15;1745,2;1727,01;;6/04/2021
1743,2;1737,65;1744,09;1730,5;;7/04/2021
1737,29;1756,38;1758,7;1733,4;;8/04/2021
1755,9;1744,1;1756,9;1731,5;;9/04/2021
1744,1;1744,1;1744,1;1744,1;;10/04/2021
1744,1;1744,1;1744,1;1744,1;;11/04/2021
1742,3;1733,4;1744,6;1727,6;;12/04/2021
1733,45;1744,3;1748,5;1723,67;;13/04/2021
1745,65;1737,1;1749;1732,7;;14/04/2021
1736;1763,6;1769,45;1734,5;;15/04/2021
1764,35;1782,5;1783,19;1759,95;;16/04/2021
1782,5;1782,5;1782,5;1782,5;;17/04/2021
1782,5;1779,5;1783;1779,5;;18/04/2021
1775,6;1770,31;1789,9;1766,59;;19/04/2021
1770,95;1778;1780,3;1763,66;;20/04/2021
1778,15;1793,9;1797,55;1776,18;;21/04/2021
1793,95;1784,25;1797,9;1777,2;;22/04/2021
1784,3;1778,18;1794,89;1770,97;;23/04/2021
1775,6;1780,44;1783,5;1769,15;;26/04/2021
1781,45;1776,5;1785,29;1773,9;;27/04/2021
1777,1;1780,92;1782,5;1763;;28/04/2021
1782,15;1770,8;1790;1757,3;;29/04/2021
1771,8;1768,95;1773,6;1764,1;;30/04/2021
1808,4;1807,4;1807,4;1807,4;;1/05/2021
1808,4;1787,05;1808,41;1787,05;;2/05/2021
1767,47;1792,32;1797,09;1767,37;;3/05/2021
1792,49;1779,04;1798,59;1772,69;;4/05/2021
1778,49;1785,65;1787,99;1770,57;;5/05/2021
1786,49;1815,57;1817,39;1782,07;;6/05/2021
1814,29;1830,86;1842,59;1813,24;;7/05/2021
0;1840,69;1840,69;1840,69;;8/05/2021
0;1840,69;1840,69;1840,69;;9/05/2021
1831,97;1835,94;1844,89;1830,19;;10/05/2021
1836,09;1837,39;1841,39;1818,29;;11/05/2021
1836,78;1816,49;1843,17;1813,27;;12/05/2021
1814,79;1827,01;1828,19;1809,44;;13/05/2021
1826,86;1843,19;1844,16;1820,49;;14/05/2021
1844,89;1865,79;1868,34;1843,74;;17/05/2021
1866,59;1869,89;1874,47;1863,19;;18/05/2021
1869,19;1869,59;1889,54;1852,19;;19/05/2021
1869,79;1876,84;1883,57;1863,78;;20/05/2021
1877,89;1881,3;1888,99;1870,39;;21/05/2021
1881,3;1881,3;1881,3;1881,3;;23/05/2021
