Open;Close;High;Low;Volume;Date
67,77;63,28;68,15;61,45;;18/03/2021
62,99;64,53;64,95;62,07;;19/03/2021
64,53;64,62;65,12;63,45;;22/03/2021
64,3;60,79;64,3;60,27;;23/03/2021
60,5;64,41;64,57;60,47;;24/03/2021
63,99;61,95;64,19;60,98;;25/03/2021
62,01;64,57;64,89;61,85;;26/03/2021
64,58;64,98;65,46;63,13;;29/03/2021
65,2;64,14;65,41;63,52;;30/03/2021
64,13;63,54;64,79;63,53;;31/03/2021
63,12;64,86;65,17;62,38;;1/04/2021
64,57;62,15;64,81;61,25;;5/04/2021
62,32;62,74;64,28;62,08;;6/04/2021
62,6;63,16;63,55;61,6;;7/04/2021
63,02;63,2;63,43;62,38;;8/04/2021
63,28;62,95;63,49;62,57;;9/04/2021
63,03;63,28;64,31;62,41;;12/04/2021
63,24;63,67;64,19;63,18;;13/04/2021
64,01;66,58;66,9;63,88;;14/04/2021
66,38;66,94;67,03;65,95;;15/04/2021
66,86;66,77;67,38;66,44;;16/04/2021
66,7;67,05;67,23;66,17;;19/04/2021
67,2;66,57;68,08;65,51;;20/04/2021
66,22;65,32;66,52;64,96;;21/04/2021
65,13;65,4;65,83;64,58;;22/04/2021
65,8;66,11;66,3;65,16;;23/04/2021
66,1;65,65;66,26;64,57;;26/04/2021
65,76;66,42;66,8;65,66;;27/04/2021
66,58;67,27;67,85;66,13;;28/04/2021
67,18;68,56;68,95;67,13;;29/04/2021
68,33;66,76;68,4;67,06;;30/04/2021
66,7;67,56;67,82;66,1;;3/05/2021
67,75;68,88;69,5;67,37;;4/05/2021
69,35;68,96;69,95;68,35;;5/05/2021
68,47;68,09;69,37;67,93;;6/05/2021
68,26;68,28;68,65;67,39;;7/05/2021
68,74;68,32;69,2;67,41;;10/05/2021
68,29;68,55;68,75;67,13;;11/05/2021
68,78;69,32;69,9;68,18;;12/05/2021
68,88;67,05;69,04;66,48;;13/05/2021
67;68,71;68,89;66,5;;14/05/2021
68,92;69,46;69,62;68,18;;17/05/2021
69,61;68,71;70,24;67,28;;18/05/2021
68,41;66,66;68,46;65,3;;19/05/2021
66,63;65,11;67,17;64,8;;20/05/2021
65,22;66,44;66,94;64,57;;21/05/2021
66,72;68,46;68,64;66,46;;24/05/2021
68,47;68,65;68,9;67,83;;25/05/2021
68,55;68,87;69,17;68,02;;26/05/2021
68,78;69,46;69,51;68,11;;27/05/2021
69,69;69,63;69,92;69,26;;28/05/2021
68,98;69,46;69,82;68,75;;31/05/2021
69,39;70,25;71,34;69,29;;1/06/2021
70,55;71,35;71,48;70,35;;2/06/2021
71,27;71,31;71,99;70,66;;3/06/2021
71,25;71,89;72,17;70,73;;4/06/2021
71,82;71,49;72,27;71,1;;7/06/2021
71,42;72,22;72,42;70,71;;8/06/2021
72,17;72,22;72,87;71,82;;9/06/2021
72,03;72,52;72,93;70,95;;10/06/2021
72,41;72,69;73,09;71,88;;11/06/2021
72,7;72,86;73,64;72,59;;14/06/2021
73,03;73,99;74,33;72,79;;15/06/2021
74,26;74,39;74,96;73,86;;16/06/2021
73,8;73,08;74,5;72,01;;17/06/2021
73;73,51;73,76;72,18;;18/06/2021
73,33;74,9;74,95;72,98;;21/06/2021
74,88;74,81;75,3;74,32;;22/06/2021
74,75;75,19;76,02;74,7;;23/06/2021
75,3;75,56;75,78;74,51;;24/06/2021
75,54;76,18;76,21;74,95;;25/06/2021
75,99;74,68;76,6;74,51;;28/06/2021
74,67;74,76;75,51;73,9;;29/06/2021
75,18;75,13;75,6;74,39;;30/06/2021
74,69;75,84;76,74;74,55;;1/07/2021
75,64;76,17;76,43;75,21;;2/07/2021
76,23;77,16;77,26;75,7;;5/07/2021
77,06;74,53;77,84;74,13;;6/07/2021
74,69;73,43;75,99;72,6;;7/07/2021
73,35;74,12;74,4;72,11;;8/07/2021
74,39;75,55;75,8;73,8;;9/07/2021
75,79;75,16;75,84;74,23;;12/07/2021
75,25;76,49;76,6;74,93;;13/07/2021
76,28;74,76;76,72;73,79;;14/07/2021
74,5;73,47;74,59;73,19;;15/07/2021
73,18;73,59;74,09;72,34;;16/07/2021
72,86;68,62;73,34;67,75;;19/07/2021
68,99;69,35;69,73;67,44;;20/07/2021
68,92;72,23;72,38;68,63;;21/07/2021
72,24;73,79;73,9;71,74;;22/07/2021
73,56;74,1;74,22;73,32;;23/07/2021
74,12;74,5;74,84;72,75;;26/07/2021
74,67;74,48;75,05;74,02;;27/07/2021
74,77;74,74;75,32;74,42;;28/07/2021
