Open;Close;High;Low;Volume;Date
26,36075;26,0425;26,675;25,8475;;18/03/2021
25,98125;26,385;26,385;25,88175;;19/03/2021
26,385;26,385;26,385;26,385;;20/03/2021
26,385;25,965;26,385;25,965;;21/03/2021
25,885;25,77375;25,95425;25,4125;;22/03/2021
25,7875;25,07625;25,82375;25,00975;;23/03/2021
25,06775;25,04675;25,35325;24,99925;;24/03/2021
25,05;25,12175;25,1725;24,42725;;25/03/2021
25,12275;25,385;25,385;24,885;;26/03/2021
25,385;25,385;25,385;25,385;;28/03/2021
25,0575;24,6475;25,08925;24,4805;;29/03/2021
24,6825;24,02225;24,725;23,865;;30/03/2021
24,01625;24,4125;24,50825;23,78875;;31/03/2021
24,43425;24,9725;24,9775;24,25625;;1/04/2021
24,9725;24,9725;24,9725;24,9725;;4/04/2021
25,005;24,88125;25,06675;24,6175;;5/04/2021
24,89125;24,015;25,28375;24,015;;6/04/2021
25,16125;25,1525;25,2675;24,86;;7/04/2021
25,155;25,44875;25,59;24,99425;;8/04/2021
25,46775;24,015;25,48875;24,015;;9/04/2021
24,015;24,015;24,015;24,015;;10/04/2021
24,015;24,015;24,015;24,015;;11/04/2021
25,245;24,8175;25,2725;24,71;;12/04/2021
24,8325;25,33775;25,4525;24,70075;;13/04/2021
25,35875;25,4225;25,52025;25,19925;;14/04/2021
25,41075;25,84575;25,97775;25,3325;;15/04/2021
25,87;25,97;26,28825;25,7625;;16/04/2021
25,97;25,97;25,97;25,97;;17/04/2021
25,92125;25,8175;26,2205;25,64175;;19/04/2021
25,81825;25,85;26,0875;25,68925;;20/04/2021
25,845;26,5525;26,63;25,76875;;21/04/2021
26,56625;26,16875;26,58;25,97775;;22/04/2021
26,14875;25,565;26,37825;25,565;;23/04/2021
25,565;25,565;25,565;25,565;;25/04/2021
25,98;26,2175;26,2175;25,86575;;26/04/2021
26,215;26,265;26,4505;26,0525;;27/04/2021
26,26375;26,2025;26,295;25,835;;28/04/2021
26,2425;26,10125;26,465;25,75825;;29/04/2021
26,09;25,915;26,18525;25,8025;;30/04/2021
25,915;25,915;25,915;25,915;;1/05/2021
25,915;25,915;25,915;25,915;;2/05/2021
25,87625;26,895;26,985;25,81375;;3/05/2021
26,9;26,51625;27,094;26,09975;;4/05/2021
26,475;26,485;26,62;26,11375;;5/05/2021
